Rank;FirstName;LastName;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3
179;Terence;Davis;SAC;24;20;8;12;17.3;9.2;3.5;8.5;41.4;1.4;4.8;29.5;0.8;1.0;75.0;0.3;2.7;3.0;1.0;1.3;0.8;0.4;2.5;16.4;0;0
180;Chimezie;Metu;SAC;24;18;7;11;23.5;9.1;3.4;8.5;39.9;1.1;4.1;25.7;1.3;1.7;74.2;0.9;5.6;6.6;0.9;1.2;0.9;0.9;1.5;22.6;3;0
181;Bones;Hyland;DEN;21;20;12;8;16.8;9.0;3.0;7.5;40.0;1.7;4.7;36.2;1.3;1.4;92.9;0.2;1.7;1.9;1.6;0.9;0.7;0.3;1.8;15.6;0;0
181;Daniel;Gafford;WAS;23;28;14;14;21.5;9.0;3.9;5.9;65.5;0.0;0.0;0.0;1.3;1.8;72.0;2.2;4.2;6.4;1.0;1.1;0.5;1.8;2.6;24.0;4;0
181;Gary;Harris;ORL;27;24;4;20;27.1;9.0;3.5;8.1;43.3;1.2;3.6;32.2;0.8;1.1;76.9;0.9;1.6;2.5;1.9;1.2;0.7;0.2;1.7;16.2;0;0
184;Rudy;Gay;UTA;35;15;11;4;19.2;8.9;3.1;7.1;43.4;1.8;4.7;38.0;1.0;1.4;71.4;0.7;4.1;4.9;1.0;0.9;0.5;0.2;1.5;17.4;0;0
185;Daniel;Theis;HOU;29;20;3;17;22.9;8.9;3.4;6.9;49.6;0.9;3.0;30.0;1.2;1.6;74.2;1.2;4.1;5.2;0.8;1.3;0.5;0.7;2.5;18.3;2;0
186;Patrick;Beverley;MIN;33;22;12;10;26.5;8.7;3.3;7.3;44.7;1.2;3.8;32.1;1.0;1.4;70.0;1.2;3.2;4.5;4.7;1.1;0.9;0.9;3.0;25.5;1;0
187;Alex;Caruso;CHI;27;25;17;8;28.9;8.7;2.9;6.5;44.8;1.1;3.1;36.4;1.8;2.1;83.0;1.0;2.9;3.8;4.0;1.6;2.1;0.4;2.6;25.3;1;0
188;Obi;Toppin;NYK;23;26;12;14;15.9;8.7;3.4;6.4;53.0;0.3;1.8;19.6;1.6;2.0;78.8;1.2;2.7;3.9;0.9;0.9;0.3;0.6;1.5;16.7;1;0
189;Naz;Reid;MIN;22;28;14;14;16.0;8.7;3.1;6.9;44.8;0.9;2.4;35.3;1.6;2.2;72.6;1.3;2.1;3.4;0.8;0.9;0.5;0.8;2.4;17.1;0;0
190;David Jr.;Duke;BKN;22;5;3;2;27.3;8.6;3.4;9.4;36.2;0.4;2.8;14.3;1.4;1.8;77.8;3.6;3.6;7.2;1.4;0.6;1.2;0.6;2.8;24.1;2;0
190;Kessler;Edwards;BKN;21;5;3;2;25.4;8.6;3.6;8.0;45.0;1.4;3.4;41.2;0.0;0.0;0.0;1.8;3.2;5.0;1.2;1.2;0.6;0.6;1.2;18.8;1;0
192;Darius;Bazley;OKC;21;28;9;19;27.3;8.6;3.2;8.6;37.3;1.0;3.5;28.3;1.1;1.8;62.7;0.9;5.2;6.1;1.3;1.4;0.9;1.2;0.9;22.6;1;0
193;Nassir;Little;POR;21;27;12;15;23.7;8.5;3.0;6.4;47.7;0.9;3.0;30.0;1.5;2.0;75.9;1.4;4.0;5.4;1.1;1.0;0.7;0.8;2.1;20.2;1;0
194;Robin;Lopez;ORL;33;13;2;11;17.8;8.5;3.8;6.5;58.3;0.0;0.1;0.0;0.9;1.5;60.0;2.5;1.6;4.1;1.4;1.3;0.0;0.6;1.9;16.0;1;0
195;Precious;Achiuwa;TOR;22;22;12;10;26.3;8.4;3.6;8.9;40.3;0.4;1.3;28.6;0.9;1.6;52.8;2.2;5.9;8.1;1.5;1.1;0.5;0.5;2.5;22.5;4;0
196;Furkan;Korkmaz;PHI;24;27;14;13;22.2;8.4;3.1;8.2;37.4;1.4;4.8;29.5;0.9;1.0;82.1;0.3;2.6;2.9;2.4;0.9;0.6;0.1;0.8;16.9;0;0
196;Kyle;Anderson;MEM;28;27;16;11;22.0;8.4;3.3;7.6;43.1;0.8;2.1;36.2;1.1;1.7;63.8;0.9;4.5;5.4;2.6;1.0;1.2;0.6;1.4;23.1;1;0
198;T.J.;McConnell;IND;29;24;9;15;24.2;8.4;3.8;7.5;50.3;0.3;1.0;28.0;0.5;0.6;80.0;0.8;2.5;3.3;4.8;1.2;1.0;0.4;1.8;22.6;1;0
199;Landry;Shamet;PHX;24;28;23;5;20.9;8.3;2.7;7.1;38.2;1.9;4.8;38.8;1.0;1.3;82.9;0.3;2.1;2.4;1.6;0.5;0.3;0.1;1.2;14.3;0;0
200;Draymond;Green;GSW;31;28;23;5;30.3;8.2;3.3;5.9;54.8;0.3;1.0;27.6;1.4;2.3;60.0;1.2;6.8;7.9;7.3;3.0;1.3;1.0;2.8;32.6;2;0
201;Mike;Muscala;OKC;30;22;8;14;14.0;8.1;2.6;5.6;46.3;1.6;3.7;43.2;1.4;1.6;83.3;0.5;2.7;3.2;0.5;0.5;0.3;0.5;1.1;14.8;0;0
202;Marvin III;Bagley;SAC;22;13;5;8;19.6;8.1;3.2;6.6;47.7;0.6;2.2;28.6;1.2;1.8;65.2;2.2;4.5;6.7;0.6;0.5;0.2;0.3;1.2;17.9;3;0
203;Gabe;Vincent;MIA;25;28;16;12;20.1;8.1;2.9;6.6;44.3;1.5;4.0;37.5;0.7;1.0;74.1;0.4;1.4;1.8;2.7;1.5;0.8;0.2;2.2;15.7;0;0
204;Damion;Lee;GSW;29;24;19;5;20.5;8.0;2.9;7.0;41.7;1.1;3.4;31.7;1.1;1.3;87.1;0.3;2.7;3.0;1.0;0.6;0.4;0.1;1.5;14.1;0;0
205;Brook;Lopez;MIL;33;1;1;0;28.2;8.0;3.0;9.0;33.3;2.0;4.0;50.0;0.0;0.0;0.0;2.0;3.0;5.0;0.0;0.0;1.0;3.0;3.0;26.0;0;0
205;Bryn;Forbes;SAS;28;28;10;18;14.6;8.0;2.9;6.2;46.8;1.4;3.1;43.2;0.9;1.0;88.9;0.1;1.0;1.1;0.7;0.9;0.4;0.1;0.8;10.9;0;0
205;Goran;Dragic;TOR;35;5;1;4;17.9;8.0;2.6;6.8;38.2;0.8;2.8;28.6;2.0;2.0;100;0.4;2.4;2.8;1.8;0.2;1.0;0.2;1.6;17.5;0;0
208;Willy;Hernangomez;NOP;27;17;7;10;14.0;7.9;3.2;5.1;63.2;0.1;0.1;100;1.4;1.9;71.9;2.3;4.3;6.6;1.4;0.9;0.4;0.3;1.9;18.9;3;0
209;Raul;Neto;WAS;29;30;15;15;20.2;7.9;3.2;7.0;45.2;0.4;1.7;25.0;1.2;1.6;72.9;0.2;1.9;2.1;2.6;1.2;0.8;0.0;1.6;15.6;0;0
210;Royce;O'Neale;UTA;28;27;18;9;30.8;7.9;2.9;5.7;50.3;1.6;3.8;40.8;0.7;0.9;72.0;0.9;4.0;4.9;2.5;1.0;1.4;0.6;2.3;22.7;1;0
211;Isaiah;Stewart;DET;20;27;5;22;25.8;7.9;3.4;6.2;54.2;0.1;0.5;15.4;1.1;1.6;69.0;2.6;5.7;8.3;1.1;1.2;0.4;1.1;2.8;22.8;3;0
212;P.J.;Tucker;MIA;36;31;18;13;28.3;7.9;3.0;6.0;50.5;1.3;2.8;45.5;0.5;0.7;76.2;1.7;3.9;5.6;2.1;0.9;0.7;0.3;2.4;19.9;2;0
213;Jordan;Nwora;MIL;23;26;14;12;19.0;7.8;3.0;7.5;40.2;1.3;3.7;35.8;0.5;0.7;82.4;0.7;3.2;3.8;1.1;1.2;0.4;0.4;1.0;15.4;2;0
214;Tyus;Jones;MEM;25;31;19;12;21.4;7.8;3.0;6.5;46.0;1.0;2.5;40.8;0.8;0.9;88.9;0.3;2.4;2.6;4.2;0.8;0.9;0.1;0.4;19.4;0;0
215;Joe;Ingles;UTA;34;29;20;9;24.8;7.8;2.7;6.1;44.6;2.0;4.9;40.1;0.3;0.4;76.9;0.4;2.6;3.0;3.4;1.1;0.5;0.1;1.8;17.4;0;0
216;Brandon;Clarke;MEM;25;19;9;10;16.0;7.7;3.4;5.5;61.0;0.1;0.6;9.1;0.9;1.4;66.7;1.7;2.6;4.4;1.4;0.4;0.4;0.9;1.7;18.4;0;0
217;Markieff;Morris;MIA;32;10;7;3;18.7;7.7;3.2;7.0;45.7;0.8;2.2;36.4;0.5;0.5;100;1.3;1.5;2.8;1.4;1.2;0.3;0.1;2.2;13.2;0;0
